ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA;;;;;
202108;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;12131,;11362,;6518,;5613,;;;;;
202108;15000;MINISTERIO DA EDUCACAO;MEC;35479,;1907,;733,;34746,;;;;;
202108;16000;COMANDO DO EXERCITO;C.EX;8218,;8216,;3926,;4292,;;;;;
202108;16100;FUNDACAO OSORIO;F OSORIO;98,;96,;63,;35,;;;;;
202108;17000;MINISTERIO DA ECONOMIA;ME;77353,;65815,;36941,;40412,;;;;;
202108;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA;MJ;3572,;3449,;2347,;1225,;;;;;
202108;20101;PRESIDENCIA DA REPUBLICA;PR;714,;272,;137,;577,;;;;;
202108;20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;297,;263,;179,;118,;;;;;
202108;20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;17614,;17364,;13299,;4315,;;;;;
202108;20224;AGENCIA NACIONAL DO CINEMA;ANCINE;361,;361,;340,;21,;;;;;
202108;21000;COMANDO DA AERONAUTICA;C.AER;8709,;7745,;3435,;5274,;;;;;
202108;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;69,;,;,;69,;;;;;
202108;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;176,;176,;55,;121,;;;;;
202108;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;346,;346,;181,;165,;;;;;
202108;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1218,;1215,;950,;268,;;;;;
202108;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;455,;455,;274,;181,;;;;;
202108;25000;MINISTERIO DA SAUDE;MS;79757,;75051,;43131,;36626,;;;;;
202108;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;505,;501,;401,;104,;;;;;
202108;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;283,;282,;248,;35,;;;;;
202108;26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;1124,;1104,;441,;683,;;;;;
