ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA
202108;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;12.131,00;11.362,00;6.518,00;5.613,00
202108;15000;MINISTERIO DA EDUCACAO;MEC;35.479,00;1.907,00;733;34.746,00
202108;16000;COMANDO DO EXERCITO;C.EX;8.218,00;8.216,00;3.926,00;4.292,00
202108;16100;FUNDACAO OSORIO;F OSORIO;98;96;63;35
202108;17000;MINISTERIO DA ECONOMIA;ME;77.353,00;65.815,00;36.941,00;40.412,00
202108;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA;MJ;3.572,00;3.449,00;2.347,00;1.225,00
202108;20101;PRESIDENCIA DA REPUBLICA;PR;714;272;137;577
202108;20114;AGENCIA BRASILEIRA DE INTELIGENCIA;ABIN;297;263;179;118
202108;20115;DEPARTAMENTO DE POLICIA FEDERAL;DPF;17.614,00;17.364,00;13.299,00;4.315,00
202108;20224;AGENCIA NACIONAL DO CINEMA;ANCINE;361;361;340;21
202108;21000;COMANDO DA AERONAUTICA;C.AER;8.709,00;7.745,00;3.435,00;5.274,00
202108;21201;CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA;CFIA;69;0;0;69
202108;21300;AGENCIA ESPACIAL BRASILEIRA;AEB;176;176;55;121
202108;24203;FUNDACAO NACIONAL DE ARTES;FUNARTE;346;346;181;165
202108;24204;INSTITUTO DO PATR.HIST.E ART. NACIONAL;IPHAN;1.218,00;1.215,00;950;268
202108;24205;FUNDACAO BIBLIOTECA NACIONAL;FBN;455;455;274;181
202108;25000;MINISTERIO DA SAUDE;MS;79.757,00;75.051,00;43.131,00;36.626,00
202108;26104;INSTITUTO NACIONAL DE EDUCACAO DE SURDOS;INES;505;501;401;104
202108;26105;INSTITUTO BENJAMIN CONSTANT;I.B.CONST;283;282;248;35
202108;26106;FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO;FNDE;1.124,00;1.104,00;441;683
202108;26107;INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS;INEP;617;533;387;230
202108;26201;COLEGIO PEDRO II;C.PEDROII;2.283,00;2.282,00;2.208,00;75
202108;26230;FUND.UNIV.FED.DO VALE DO SAO FRANCISCO;UNIVASF;1.043,00;993;967;76
202108;26231;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;3.518,00;3.488,00;3.374,00;144
202108;26232;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;5.955,00;5.955,00;5.590,00;365
202108;26233;UNIVERSIDADE FEDERAL DO CEARA;UFCE;5.730,00;5.649,00;5.424,00;306
202108;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;UFES;3.936,00;3.907,00;3.715,00;221
202108;26235;UNIVERSIDADE FEDERAL DE GOIAS;UFGO;5.279,00;5.231,00;5.102,00;177
202108;26236;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;7.665,00;7.505,00;6.936,00;729
202108;26237;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;3.289,00;3.236,00;3.133,00;156
